_id,_importdate,build_b,build_c,build_l,build_name,build_p,build_r,buitype,case_f,case_t,district,elevator,farea,fdate,landa,landa_z,location,manage,mb_area,mbuild,parea,parktype,pbuild,pprice,pu_area,rent_period,rent_service,rent_type,rmnote,rule,sb_area,sbuild,scnt,sdate,tbuild,tprice,trans_target,upnote,uprice
91,"{'date': '2026-08-19 16:01:32.941235', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,冷氣4台、熱水器、瓦斯或天然氣,1,,有,4,工廠,房屋,租賃,士林區,,51.16,,0,,承德路四段180號十一樓,有,,,0,,工業用,0,,115/07/09至117/07/08,,,租賃標的：含增建或未登記建物、租賃建物部分範圍，且未計入共有部分面積。,有,,十一層,土地:建物:1車位:房間個數:,1150708,011,5,,-,0
106,"{'date': '2026-08-19 16:01:32.951302', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",3,,1,,有,0,大樓(11層含以上有電梯),房地(土地+建物)+車位,買賣,士林區,有,96.21,,21.99,,至誠路一段136巷15號四樓,,,,12.65,坡道平面1,見其他登記事項,260,,,,,,,,四層,土地:2建物:1車位:1,1150626,,7800,,否,90.23
108,"{'date': '2026-08-19 16:01:32.952703', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",,,,,無,,,土地,買賣,士林區,無,0,,1.54,,華岡段二小段0469-0000地號,,,,0,,,0,,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。,,,,土地:1建物:0車位:,1150703,,103,,-,66.88
110,"{'date': '2026-08-19 16:01:32.954232', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,3,大樓(11層含以上有電梯),房地(土地+建物)+車位,買賣,北投區,有,46.88,,9.68,,北科路62號四樓,,,,7.51,坡道平面1,見其他登記事項,310,,,,,預售屋、或土地及建物分件登記案件。,,,四層,土地:1建物:1車位:1,1130315,,4537,,否,107.37
111,"{'date': '2026-08-19 16:01:32.954910', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,冷氣5台、熱水器、洗衣機、冰箱、瓦斯或天然氣,2,,有,3,住宅大樓(11層含以上有電梯),房屋+車位,租賃,士林區,,67.55,,0,,天玉街13號,有,,,15.37,坡道平面1,住家用,0,,115/08/01至116/07/31,無,整棟(戶)出租,租金：含下列其他衍生費用：管理費。,有,,一層,土地:建物:1車位:1房間個數:,1150630,015,13,,是,1924.5
118,"{'date': '2026-08-19 16:01:32.959639', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,,1,,有,3,公寓(5樓含以下無電梯),房地(土地+建物),買賣,士林區,無,8.2,,5.29,,承德路四段301巷12號二樓,,,,0,,住家用,0,,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。建築物含有：頂樓加蓋。,,,二層,土地:1建物:1車位:,1150709,,438,,否,53.41
119,"{'date': '2026-08-19 16:01:32.960343', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",,,,,無,,,土地,買賣,士林區,無,0,,0.26,,華岡段二小段0469-0000地號,,,,0,,,0,,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。,,,,土地:1建物:0車位:,1150703,,17,,-,65.38
132,"{'date': '2026-08-19 16:01:32.968950', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣1台、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,1,,有,1,華廈(10層含以下有電梯),房屋,租賃,北投區,,15.14,,0,,新民路1巷8之2號,有,,,0,,住家用,0,,115/07/10至117/07/09,一般代管,獨立套房,租金：含下列其他衍生費用：管理費。,有,,一層,土地:建物:1車位:房間個數:,1150703,007,2,,否,1321
133,"{'date': '2026-08-19 16:01:32.969662', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,冷氣1台、網路、傢俱,2,,有,4,公寓(無電梯),房屋,租賃,北投區,,4.5,,0,,明德路323號五樓,無,,,0,,住家用,0,,115/08/10至116/08/09,一般轉租,分租雅房,租金：含下列其他衍生費用：網路費。租賃標的：租賃建物部分範圍，且未計入共有部分面積。其他：續租案件。,無,,五層,土地:建物:車位:房間個數:1,1150709,005,1,,否,3155.56
136,"{'date': '2026-08-19 16:01:32.971830', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,,1,,有,1,華廈(10層含以下有電梯),房地(土地+建物),買賣,士林區,有,14.46,,4.64,,忠誠路一段16巷23號四樓之3,,,,0,,住家用,0,,,,,建築物含有：其他增建。,,,四層,土地:2建物:1車位:,1150614,,1470,,否,101.66
151,"{'date': '2026-08-19 16:01:32.982334', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",3,,2,,有,3,大樓(11層含以上有電梯),房地(土地+建物)+車位,買賣,士林區,有,87.55,,8.41,,中山北路五段759號十三樓,,,,11.8,坡道平面1,見其他登記事項,350,,,,,,,,十三層,土地:1建物:1車位:1,1150607,,7850,,否,99.01
158,"{'date': '2026-08-19 16:01:32.986880', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,3,大樓(11層含以上有電梯),房地(土地+建物)+車位,買賣,士林區,有,90.49,,7.51,,中山北路五段753號十五樓,,,,23.6,坡道平面2,見其他登記事項,0,,,,,,,,十五層,土地:1建物:1車位:2,1150604,,7107,,是,78.54
166,"{'date': '2026-08-19 16:01:32.992050', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,3,大樓(11層含以上有電梯),房地(土地+建物)+車位,買賣,北投區,有,52.41,,11.04,,北科路66號四樓,,,,7.51,坡道平面1,見其他登記事項,310,,,,,預售屋、或土地及建物分件登記案件。,,,四層,土地:1建物:1車位:1,1130215,,5166,,否,108.15
169,"{'date': '2026-08-19 16:01:32.993782', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,3,大樓(11層含以上有電梯),房地(土地+建物)+車位,買賣,北投區,有,46.88,,9.68,,北科路62號二樓,,,,7.51,坡道平面1,見其他登記事項,310,,,,,預售屋、或土地及建物分件登記案件。,,,二層,土地:1建物:1車位:1,1121125,,4518,,否,106.88
170,"{'date': '2026-08-19 16:01:32.994494', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,,1,,有,3,公寓(5樓含以下無電梯),房地(土地+建物),買賣,北投區,無,26.83,,8.91,,大興街24巷6弄10號,,,,0,,住家用,0,,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,一層,土地:1建物:1車位:,1150627,,1300,,否,48.45
175,"{'date': '2026-08-19 16:01:32.997770', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",4,冷氣1台、熱水器、洗衣機、傢俱,0,,有,4,公寓(無電梯),房屋,租賃,北投區,,8.62,,0,,永興路一段32巷5號五樓,無,,,0,,住家用,0,,115/07/07至116/07/06,無,分租套房,,無,,五層,土地:建物:車位:房間個數:1,1150707,005,1,,否,1392.11
184,"{'date': '2026-08-19 16:01:33.003353', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,3,華廈(10層含以下有電梯),房地(土地+建物)+車位,買賣,北投區,有,58.43,,25.39,,中山北路七段219巷3弄257號三樓,,,,8.21,坡道平面1,住家用,250,,,,,建築物含有：其他增建。,,,三層,土地:1建物:1車位:1,1150612,,4267,,否,79.99
185,"{'date': '2026-08-19 16:01:33.004065', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,昇陽醴居,有,3,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,預售屋,士林區,,44.28,,4.87,,臺北市士林區德行東路277號,,20.9,鋼筋混凝土造,11.59,坡道平面1,住家用,295,20.94,,,,,,2.43,六層,土地:8建物:1車位:1,1150704,021,4500,B棟B2-6F號,否,128.63
189,"{'date': '2026-08-19 16:01:33.006832', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣3台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,1,,有,2,住宅大樓(11層含以上有電梯),房屋,租賃,北投區,,29.93,,0,,大度路三段270巷69號七樓之8,有,,,0,,見其他登記事項,0,,115/07/12至116/07/31,一般轉租,整棟(戶)出租,,有,,七層,土地:建物:1車位:房間個數:,1150709,019,3,,否,1085.87
193,"{'date': '2026-08-19 16:01:33.009389', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",5,冷氣1台、洗衣機、電視機、冰箱、有線電視、網路、傢俱,0,,有,5,華廈(10層含以下有電梯),房屋,租賃,士林區,,8.97,,0,,延平北路五段225號八樓之2,無,,,0,,住家用,0,,115/07/10至116/07/09,一般代管,分租套房,租金：含下列其他衍生費用：水費、網路費、其他-MOD。租賃標的：租賃建物部分範圍，且未計入共有部分面積。承租 I房,無,,八層,土地:建物:車位:房間個數:1,1150709,008,1,,否,1293.2
194,"{'date': '2026-08-19 16:01:33.009967', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,冷氣1台、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路、傢俱,2,,有,5,華廈(10層含以下有電梯),房屋,租賃,士林區,,9.83,,0,,福林路100巷70號二樓之2,無,,,0,,住家用,0,,115/07/04至116/08/31,一般轉租,分租套房,,無,,二層,土地:建物:車位:房間個數:1,1150704,008,2,,否,2339.78
203,"{'date': '2026-08-19 16:01:33.015596', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣1台、熱水器、電視機、冰箱、有線電視、網路、傢俱,0,,有,1,公寓(無電梯),房屋,租賃,士林區,,6.99,,0,,凱旋路11號四樓之18,無,,,0,,住家用,0,,115/07/09至116/07/08,社會住宅包租轉租,獨立套房,,無,,四層,土地:建物:1車位:房間個數:,1150707,005,1,,否,1144.49
205,"{'date': '2026-08-19 16:01:33.016746', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,2,大樓(11層含以上有電梯),房地(土地+建物)+車位,買賣,北投區,有,33.56,,6.4,,北科路60號九樓,,,,7.51,坡道平面1,見其他登記事項,310,,,,,預售屋、或土地及建物分件登記案件。,,,九層,土地:1建物:1車位:1,1121129,,3200,,否,110.94
207,"{'date': '2026-08-19 16:01:33.017867', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,冷氣4台、熱水器、瓦斯或天然氣,2,,有,44,華廈(10層含以下有電梯),房屋,租賃,士林區,,41.79,,0,,天玉街44巷9號二樓,有,,,0,,住家用,0,,115/07/15至116/07/14,無,整棟(戶)出租,,有,,二層,土地:建物:1車位:房間個數:,1150703,005,4,,否,957.17
213,"{'date': '2026-08-19 16:01:33.022001', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣3台、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,1,,有,2,華廈(10層含以下有電梯),房屋,租賃,北投區,,40.26,,0,,稻香路235號二樓,有,,,0,,見其他登記事項,0,,115/08/20至116/08/19,社會住宅代管,整棟(戶)出租,承租人：多人共同承租，共2人。租賃標的：未租賃車位，建物登記含有車位面積。其他：續租案件。,有,,二層,土地:建物:1車位:房間個數:,1150709,005,1,,否,347.74
214,"{'date': '2026-08-19 16:01:33.022636', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,遠雄明玥,有,3,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,預售屋,北投區,,53.64,,11.7,,臺北市北投區福真路、承美路口,,27.19,鋼骨鋼筋混凝土造,7.57,坡道平面1,住家用,350,24.15,,,,,,2.3,二十七層,土地:1建物:1車位:1,1150708,027,5800,0棟B05F27號,否,118.3
232,"{'date': '2026-08-19 16:01:33.033613', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,,2,遠雄明玥,有,2,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,預售屋,北投區,,33.35,,6.54,,臺北市北投區福真路、承美路口,,14.66,鋼骨鋼筋混凝土造,7.57,坡道平面1,住家用,300,16.84,,,,,,1.85,十七層,土地:1建物:1車位:1,1150704,027,3417,0棟B01F17號,否,120.91
234,"{'date': '2026-08-19 16:01:33.034753', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,,2,,有,1,大樓(11層含以上有電梯),房地(土地+建物)+車位,買賣,北投區,有,25.57,,2.68,,中央南路二段12之10號三樓,,,,9.68,坡道平面1,見其他登記事項,0,,,,,,,,三層,土地:1建物:1車位:1,1150630,,1260,,是,49.28
247,"{'date': '2026-08-19 16:01:33.042667', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣1台、熱水器、電視機、冰箱、有線電視、網路、傢俱,0,,有,1,公寓(無電梯),房屋,租賃,士林區,,6.99,,0,,凱旋路11號二樓之10,無,,,0,,住家用,0,,115/07/09至116/07/08,社會住宅包租轉租,獨立套房,,無,,二層,土地:建物:1車位:房間個數:,1150707,005,1,,否,1144.49
251,"{'date': '2026-08-19 16:01:33.045051', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,4,公寓(5樓含以下無電梯),房地(土地+建物),買賣,士林區,無,45.05,,12.37,,忠誠路二段50巷8號三樓,,,,0,,住家用,0,,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,三層,土地:1建物:1車位:,1150427,,2800,,否,62.15
256,"{'date': '2026-08-19 16:01:33.048186', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣1台、熱水器、電視機、冰箱、有線電視、網路、傢俱,0,,有,1,公寓(無電梯),房屋,租賃,士林區,,7.1,,0,,凱旋路11號四樓之11,無,,,0,,住家用,0,,115/07/09至116/07/08,社會住宅包租轉租,獨立套房,,無,,四層,土地:建物:1車位:房間個數:,1150707,005,1,,否,1126.76
259,"{'date': '2026-08-19 16:01:33.050075', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,鄉林靜岡,有,3,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,預售屋,北投區,,47.14,,6.92,,臺北市北投區桃源里中央北路三段40巷20弄1號,,22.45,鋼筋混凝土造,10,坡道平面1,住家用,320,22.97,,,,,,1.72,二層,土地:9建物:1車位:1,1150705,013,3420,0棟A2-2F號,否,83.47
263,"{'date': '2026-08-19 16:01:33.052646', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,2,大樓(11層含以上有電梯),房地(土地+建物)+車位,買賣,士林區,有,40.74,,3.4,,劍潭路61號九樓,,,,11.74,坡道平面1,見其他登記事項,290,,,,,預售屋、或土地及建物分件登記案件。民國113年7月20日讓渡，讓渡金額新台幣3330萬元。,,,九層,土地:1建物:1車位:1,1091219,,2668,,否,82
282,"{'date': '2026-08-19 16:01:33.064971', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,樺輝詠鑄,有,3,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,預售屋,北投區,,59.81,,8.98,,臺北市北投區洲美里洲美街,,27.91,鋼骨混凝土造,11.36,坡道平面1,住家用,320,28.78,,,,毛胚屋。,,3.12,二十三層,土地:2建物:1車位:1,1150707,028,7188,0棟A1號,否,141.75
286,"{'date': '2026-08-19 16:01:33.067586', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣1台、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,1,,有,1,華廈(10層含以下有電梯),房屋,租賃,北投區,,8.89,,0,,中和街40號八樓之18,有,,,0,,住家用,0,,115/07/10至116/07/09,社會住宅包租轉租,獨立套房,,有,,八層,土地:建物:1車位:房間個數:,1150706,008,1,,否,1349.83
288,"{'date': '2026-08-19 16:01:33.068847', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",7,冷氣1台、電視機、有線電視、網路、傢俱,0,,有,7,公寓(無電梯),房屋,租賃,士林區,,5.14,,0,,承德路四段3巷30號四樓,無,,,0,,,0,,115/07/10至116/07/09,一般代管,分租套房,租金：含下列其他衍生費用：水費、網路費、其他-MOD。承租 A房,無,,四層,土地:建物:車位:房間個數:1,1150704,005,1,,否,1945.53
306,"{'date': '2026-08-19 16:01:33.081077', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,3,公寓(5樓含以下無電梯),房地(土地+建物),買賣,北投區,無,27.4,,9,,中和街493巷5弄17號五樓,,,,0,,住家用,0,,,,,建築物含有：頂樓加蓋、其他增建、未登記建物。,,,五層,土地:9建物:1車位:,1150627,,975,,否,35.58
311,"{'date': '2026-08-19 16:01:33.084686', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,,1,,有,1,華廈(10層含以下有電梯),房地(土地+建物),買賣,北投區,有,20.29,,5.04,,新民路76之1號二樓,,,,0,,住家用,0,,,,,,,,二層,土地:1建物:1車位:,1150410,,1085,,否,53.47
315,"{'date': '2026-08-19 16:01:33.087128', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,冷氣4台、熱水器、瓦斯或天然氣、傢俱,2,,有,3,公寓(無電梯),房屋,租賃,北投區,,42.01,,0,,知行路202巷16號二樓,無,,,0,,住家用,0,,115/07/07至116/07/06,社會住宅代管,整棟(戶)出租,,無,,見其他登記事項,土地:建物:1車位:房間個數:,1150704,005,3,,否,714.12
321,"{'date': '2026-08-19 16:01:33.090708', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",,,,,無,,,車位,買賣,北投區,有,9.39,,1.76,,溫泉路68巷22號等房屋地下二層,,,,9.39,升降平面1,見使用執照,235,,,,,僅車位交易。,,,地下二層,土地:2建物:1車位:1,1150723,,235,,-,0
330,"{'date': '2026-08-19 16:01:33.096585', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣3台、熱水器、洗衣機、瓦斯或天然氣,2,,有,3,公寓(無電梯),房屋,租賃,士林區,,18.45,,0,,社子街63巷35弄6號二樓,無,,,0,,住家用,0,,115/07/15至116/07/14,社會住宅包租轉租,整棟(戶)出租,,無,,二層,土地:建物:1車位:房間個數:,1150707,004,2,,否,1246.61
338,"{'date': '2026-08-19 16:01:33.101952', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,樺輝詠鑄,有,3,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,預售屋,北投區,,66.82,,8.23,,臺北市北投區洲美里洲美街,,25.39,鋼骨混凝土造,22.46,坡道平面2,住家用,620,38.41,,,,毛胚屋。,,3.02,八層,土地:2建物:1車位:2,1150705,028,6800,A棟2號,否,139.31
343,"{'date': '2026-08-19 16:01:33.105128', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,2,大樓(11層含以上有電梯),房地(土地+建物)+車位,買賣,北投區,有,32.95,,6.4,,北科路60號三樓,,,,6.9,坡道平面1,見其他登記事項,300,,,,,預售屋、或土地及建物分件登記案件。,,,三層,土地:1建物:1車位:1,1130504,,3218,,否,112.02
351,"{'date': '2026-08-19 16:01:33.110372', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,,2,,有,3,華廈(10層含以下有電梯),房地(土地+建物),買賣,北投區,有,37.1,,11.83,,文化三路76號二樓,,,,0,,住家用,0,,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,二層,土地:2建物:1車位:,1150701,,680,,否,18.33
353,"{'date': '2026-08-19 16:01:33.111605', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",5,冷氣1台、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,0,,有,5,公寓(無電梯),房屋,租賃,士林區,,6,,0,,重慶北路四段220巷10號四樓,無,,,0,,住家用,0,,115/07/05至116/07/04,一般轉租,分租套房,,無,,四層,土地:建物:車位:房間個數:1,1150704,004,2,,否,3500
355,"{'date': '2026-08-19 16:01:33.112946', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣1台、熱水器、瓦斯或天然氣、傢俱,2,,有,3,公寓(無電梯),房屋,租賃,士林區,,25.07,,0,,文林路740巷9弄16號二樓,無,,,0,,住家用,0,,115/08/01至116/07/31,社會住宅代管,整棟(戶)出租,,無,,二層,土地:建物:1車位:房間個數:,1150707,004,3,,否,1116.87
360,"{'date': '2026-08-19 16:01:33.116326', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,,2,,有,3,公寓(5樓含以下無電梯),房地(土地+建物),買賣,北投區,無,25.18,,9,,立農街一段36號,,,,0,,住家用,0,,,,,建築物含有：其他增建。,,,一層,土地:1建物:1車位:,1150621,,2680,,否,106.43
370,"{'date': '2026-08-19 16:01:33.122673', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣3台、熱水器、洗衣機、冰箱、傢俱,2,,有,2,公寓(無電梯),房屋,租賃,士林區,,21.49,,0,,社中街217號二樓,無,,,0,,住家用,0,,115/07/10至116/07/09,社會住宅包租轉租,整棟(戶)出租,國家住宅及都市更新中心社會住宅包租代管計畫之物件。,無,,二層,土地:建物:1車位:房間個數:,1150708,004,3,,否,1191.25
372,"{'date': '2026-08-19 16:01:33.123749', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣3台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路、傢俱,2,,有,3,透天厝,房屋,租賃,士林區,,14.22,,0,,重慶北路四段49巷20弄4之5號,無,,,0,,住家用,0,,115/07/12至116/07/11,社會住宅代管,整棟(戶)出租,租金：含下列其他衍生費用：網路費、其他-第四台。,無,,見其他登記事項,土地:建物:1車位:房間個數:,1150706,001,3,,-,0
380,"{'date': '2026-08-19 16:01:33.128782', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,瓦斯或天然氣,2,,有,2,公寓(無電梯),房屋,租賃,北投區,,20.69,,0,,崇仁路一段94號,無,,,0,,住家用,0,,115/08/01至118/07/31,,,,無,,一層,土地:建物:1車位:房間個數:,1150707,003,3,,否,1208.31
381,"{'date': '2026-08-19 16:01:33.129386', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣4台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,2,,有,3,公寓(無電梯),房屋,租賃,北投區,,28.41,,0,,中和街502巷16弄2號一樓,無,,,0,,住家用,0,,115/07/20至118/07/19,社會住宅包租轉租,整棟(戶)出租,,無,,一層,土地:建物:1車位:房間個數:0,1150703,004,2,,否,527.98
387,"{'date': '2026-08-19 16:01:33.133434', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,3,大樓(11層含以上有電梯),房地(土地+建物)+車位,買賣,北投區,有,46.88,,9.68,,北科路62號三樓,,,,7.51,坡道平面1,見其他登記事項,300,,,,,預售屋、或土地及建物分件登記案件。,,,三層,土地:1建物:1車位:1,1130430,,4946,,否,118.01
394,"{'date': '2026-08-19 16:01:33.137888', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,冷氣1台、熱水器、瓦斯或天然氣,2,,有,3,公寓(無電梯),房屋,租賃,北投區,,33.54,,0,,實踐街6巷3弄2號三樓,無,,,0,,住家用,0,,115/07/20至118/07/19,社會住宅包租轉租,整棟(戶)出租,,無,,三層,土地:建物:1車位:房間個數:,1150708,004,3,,否,775.19
401,"{'date': '2026-08-19 16:01:33.142639', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,1,,有,3,公寓(5樓含以下無電梯),房地(土地+建物),買賣,北投區,無,29.62,,7.93,,崇仁路一段157巷3號二樓,,,,0,,住家用,0,,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,二層,土地:1建物:1車位:,1150722,,500,,否,16.88
