_id,_importdate,build_b,build_c,build_l,build_name,build_p,build_r,buitype,case_f,case_t,district,elevator,farea,fdate,landa,landa_z,location,manage,mb_area,mbuild,parea,parktype,pbuild,pprice,pu_area,rent_period,rent_service,rent_type,rmnote,rule,sb_area,sbuild,scnt,sdate,tbuild,tprice,trans_target,upnote,uprice
5,"{'date': '2026-08-19 16:01:32.881834', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",,,,,無,,,土地,買賣,士林區,無,0,,1.54,,華岡段二小段0469-0000地號,,,,0,,,0,,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。,,,,土地:1建物:0車位:,1150715,,103,,-,66.88
10,"{'date': '2026-08-19 16:01:32.885322', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,3,公寓(5樓含以下無電梯),房地(土地+建物),買賣,士林區,無,34.81,,10.93,,至誠路二段27之1號三樓,,,,0,,住家用,0,,,,,,,,三層,土地:1建物:1車位:,1150419,,2308,,否,66.3
27,"{'date': '2026-08-19 16:01:32.897315', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",,,,文心天母,無,,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,預售屋,士林區,,62.8,,8.76,,臺北市士林區中山北路六段,,30.05,見其他登記事項,10.66,坡道平面1,住商用,370,29.87,,,,露臺約定專用約5.82平方公尺,,2.88,十三層,土地:14建物:1車位:1,1150709,025,8100,A棟A3號,否,148.25
40,"{'date': '2026-08-19 16:01:32.906735', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,冷氣4台、熱水器、洗衣機、電視機、冰箱、傢俱,2,,有,3,公寓(無電梯),房屋,租賃,士林區,,33.03,,0,,福港街244巷19號四樓,無,,,0,,住家用,0,,115/08/01至118/07/31,無,整棟(戶)出租,承租人：多人共同承租，共4人。租金：含下列其他衍生費用：其他-含稅。,無,,四層,土地:建物:1車位:房間個數:,1150708,005,3,,否,1029.37
43,"{'date': '2026-08-19 16:01:32.908918', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",,,,,無,,,土地,買賣,士林區,無,0,,1.19,,永新段一小段0371-0001地號,,,,0,,,0,,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易,,,,土地:2建物:0車位:,1150720,,21,,-,17.65
46,"{'date': '2026-08-19 16:01:32.910944', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,1,,有,2,公寓(5樓含以下無電梯),房地(土地+建物),買賣,北投區,無,20.69,,9.83,,崇仁路一段94號二樓,,,,0,,住家用,0,,,,,建築物含有：陽台外推。,,,"二層,陽臺",土地:3建物:1車位:,1150509,,1200,,否,58
60,"{'date': '2026-08-19 16:01:32.920097', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,昇樺知玉,有,3,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,預售屋,北投區,,42.17,,6,,臺北市北投區承德路七段32巷,,18.93,鋼筋混凝土造,11.43,坡道平面1,住家用,335,22.19,,,,,,1.06,十三層,土地:10建物:1車位:1,1150704,014,3835,0棟A05-13F號,否,113.86
62,"{'date': '2026-08-19 16:01:32.921493', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,3,大樓(11層含以上有電梯),房地(土地+建物)+車位,買賣,北投區,有,64.06,,9.76,,文林北路151號七樓,,,,13.24,坡道平面1,見其他登記事項,310,,,,,預售屋、或土地及建物分件登記案件。,,,七層,土地:1建物:1車位:1,1131206,,6407,,否,119.97
67,"{'date': '2026-08-19 16:01:32.925095', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣1台、熱水器、電視機、冰箱、有線電視、網路、傢俱,0,,有,1,公寓(無電梯),房屋,租賃,士林區,,7.1,,0,,凱旋路11號二樓之12,無,,,0,,住家用,0,,115/07/09至116/07/08,社會住宅包租轉租,獨立套房,承租人：多人共同承租，共2人。,無,,二層,土地:建物:1車位:房間個數:,1150707,005,1,,否,1126.76
86,"{'date': '2026-08-19 16:01:32.937948', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,4,,有,6,公寓(5樓含以下無電梯),房地(土地+建物),買賣,北投區,無,24.94,,10.69,,致遠一路二段12巷15號三樓,,,,0,,住家用,0,,,,,建築物含有：頂樓加蓋、其他增建。內梯增建,,,三層,土地:1建物:1車位:,1150530,,1910,,否,76.58
