_id,_importdate,build_b,build_c,build_l,build_name,build_p,build_r,buitype,case_f,case_t,district,elevator,farea,fdate,landa,landa_z,location,manage,mb_area,mbuild,parea,parktype,pbuild,pprice,pu_area,rent_period,rent_service,rent_type,rmnote,rule,sb_area,sbuild,scnt,sdate,tbuild,tprice,trans_target,upnote,uprice
100,"{'date': '2026-08-12 10:56:01.322960', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,3,公寓(5樓含以下無電梯),房地(土地+建物),買賣,士林區,無,29.87,,8.49,,中山北路六段405巷38號三樓,,,,0,,住家用,0,,,,,建築物含有：陽台外推。,,,三層,土地:1建物:1車位:,1150524,,2108,,否,70.57
102,"{'date': '2026-08-12 10:56:01.324026', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冰箱、瓦斯或天然氣,1,,有,1,華廈(10層含以下有電梯),房屋,租賃,北投區,,20.81,,0,,行義路186巷47號三樓,有,,,0,,住家用,0,,115/07/01至116/06/30,無,整棟(戶)出租,,有,,三層,土地:建物:1車位:房間個數:,1150628,007,2,,否,961.08
107,"{'date': '2026-08-12 10:56:01.326768', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,3,大樓(11層含以上有電梯),房地(土地+建物)+車位,買賣,士林區,有,50.4,,7.29,,天母西路50巷28號五樓,,,,12.21,坡道平面1,見其他登記事項,330,,,,,預售屋、或土地及建物分件登記案件。,,,"一層,二層,三層,四層,五層,六層,七層,八層,九層,十層,十一層,十二層,十三層,屋頂突出物,地下一層,地下二層,地下三層,地下四層",土地:1建物:1車位:1,1100102,,4115,,否,99.11
111,"{'date': '2026-08-12 10:56:01.328932', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",3,冷氣1台,3,,有,3,透天厝,房屋,租賃,士林區,,26.09,,0,,中山北路五段702號,無,,,0,,住家用,0,,115/07/01至116/06/30,,,租金：含稅。,無,,一層,土地:建物:1車位:房間個數:0,1150629,003,9,,-,0
112,"{'date': '2026-08-12 10:56:01.329443', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",,,,,無,,華廈(10層含以下有電梯),房地(土地+建物)+車位,買賣,北投區,有,80.04,,32.53,,奇岩路251之1號,,,,2.37,其他1,住家用,0,,,,,特殊交易情況、條件：毛胚屋。,,,"一層,三層",土地:1建物:2車位:1,1150115,,4950,,是,61.84
115,"{'date': '2026-08-12 10:56:01.331130', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣2台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,1,,有,1,住宅大樓(11層含以上有電梯),房屋,租賃,士林區,,24.47,,0,,基河路22號八樓之2,有,,,0,,住家用,0,,115/07/22至117/07/21,無,整棟(戶)出租,其他：續租案件。,有,,八層,土地:建物:1車位:房間個數:,1150630,018,4,,否,1552.92
117,"{'date': '2026-08-12 10:56:01.332299', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,無,2,,有,3,公寓(無電梯),房屋,租賃,士林區,,51.28,,0,,美崙街62巷22號,無,,,0,,住家用,0,,115/07/01至117/06/30,無,整棟(戶)出租,,無,,一層,土地:建物:1車位:房間個數:,1150626,005,4,,否,702.03
126,"{'date': '2026-08-12 10:56:01.337212', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,3,華廈(10層含以下有電梯),房地(土地+建物),買賣,士林區,有,48.11,,9.34,,中山北路七段14巷5弄5號五樓,,,,0,,住家用,0,,,,,,,,五層,土地:1建物:1車位:,1150506,,3160,,否,65.68
139,"{'date': '2026-08-12 10:56:01.344168', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣1台、熱水器、電視機、冰箱、有線電視、網路、傢俱,0,,有,1,公寓(無電梯),房屋,租賃,士林區,,7.03,,0,,凱旋路11號四樓之5,無,,,0,,住家用,0,,115/07/01至116/06/30,社會住宅包租轉租,獨立套房,,無,,四層,土地:建物:1車位:房間個數:,1150629,005,1,,否,1137.98
144,"{'date': '2026-08-12 10:56:01.346836', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,4,大樓(11層含以上有電梯),房地(土地+建物)+車位,買賣,北投區,有,60.88,,12.84,,泉源路50號二樓之2,,,,12.46,坡道平面1,住家用,200,,,,,,,,二層,土地:1建物:1車位:1,1150615,,2550,,否,48.53
